epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,81.5431,1.97495,0.6017,0.953,1.20653,0.0033312,0.0033312,0.0033312
2,152.218,1.52074,0.654,0.9603,1.15726,0.00666291,0.00666291,0.00666291
3,216.902,1.51744,0.5182,0.9092,1.4038,0.0099881,0.0099881,0.0099881
4,280.227,1.47529,0.5852,0.9384,1.2036,0.00997803,0.00997803,0.00997803
5,343.662,1.37352,0.669,0.9643,0.97649,0.00996097,0.00996097,0.00996097
6,407.931,1.22742,0.6812,0.9743,0.91518,0.00993906,0.00993906,0.00993906
7,476.158,1.1886,0.7012,0.9635,1.00789,0.00991232,0.00991232,0.00991232
8,539.693,1.12844,0.7444,0.9809,0.81159,0.00988079,0.00988079,0.00988079
9,604.321,1.11471,0.7556,0.982,0.72314,0.00984449,0.00984449,0.00984449
10,668.377,1.08047,0.7677,0.9832,0.72629,0.00980345,0.00980345,0.00980345
11,733.882,1.05132,0.7657,0.9844,0.70224,0.00975773,0.00975773,0.00975773
12,798.062,1.03991,0.7769,0.9861,0.67094,0.00970736,0.00970736,0.00970736
13,861.297,1.01155,0.7846,0.9885,0.63786,0.00965239,0.00965239,0.00965239
14,924.556,0.97808,0.786,0.988,0.63137,0.00959289,0.00959289,0.00959289
15,987.848,1.0255,0.788,0.988,0.61956,0.00952889,0.00952889,0.00952889
16,1051.05,1.01931,0.7899,0.9885,0.59934,0.00946048,0.00946048,0.00946048
17,1114.92,0.99459,0.7957,0.9892,0.59293,0.00938772,0.00938772,0.00938772
18,1178.71,0.99605,0.8016,0.9898,0.57324,0.00931067,0.00931067,0.00931067
19,1242.33,0.95398,0.8054,0.9895,0.56773,0.00922942,0.00922942,0.00922942
20,1307.07,0.99213,0.804,0.9893,0.56332,0.00914405,0.00914405,0.00914405
21,1373.75,1.00035,0.804,0.9893,0.56333,0.00905463,0.00905463,0.00905463
22,1438.69,0.959,0.8064,0.9896,0.55714,0.00896127,0.00896127,0.00896127
23,1502.69,0.92208,0.8083,0.9896,0.55539,0.00886404,0.00886404,0.00886404
24,1566.23,0.89025,0.8103,0.9901,0.54788,0.00876305,0.00876305,0.00876305
25,1628.8,0.88853,0.8129,0.9903,0.54323,0.00865839,0.00865839,0.00865839
26,1691.88,0.90709,0.8149,0.9902,0.53823,0.00855018,0.00855018,0.00855018
27,1755.35,0.86928,0.8164,0.9903,0.5352,0.00843851,0.00843851,0.00843851
28,1819.35,0.87858,0.8179,0.9907,0.52661,0.00832349,0.00832349,0.00832349
29,1882.98,0.88456,0.8196,0.9907,0.52425,0.00820525,0.00820525,0.00820525
30,1946.93,0.85042,0.8214,0.9908,0.52076,0.00808389,0.00808389,0.00808389
31,2009.81,0.85836,0.8215,0.9907,0.52009,0.00795954,0.00795954,0.00795954
32,2074.33,0.85398,0.8223,0.991,0.51553,0.00783231,0.00783231,0.00783231
33,2139.26,0.83224,0.8247,0.9911,0.51321,0.00770234,0.00770234,0.00770234
34,2203.44,0.94579,0.8261,0.9912,0.5097,0.00756976,0.00756976,0.00756976
35,2267.62,0.8924,0.8253,0.9915,0.509,0.00743468,0.00743468,0.00743468
36,2331.23,0.8612,0.8253,0.9916,0.5102,0.00729725,0.00729725,0.00729725
37,2395.29,0.85681,0.8266,0.9919,0.50821,0.00715761,0.00715761,0.00715761
38,2459.8,0.81683,0.8272,0.9921,0.505,0.00701588,0.00701588,0.00701588
39,2522.62,0.82944,0.8286,0.9922,0.50357,0.00687222,0.00687222,0.00687222
40,2586.22,0.79663,0.8309,0.9922,0.50042,0.00672675,0.00672675,0.00672675
41,2649.63,0.78275,0.8324,0.9922,0.49567,0.00657963,0.00657963,0.00657963
42,2712.39,0.77701,0.8326,0.9921,0.49189,0.00643101,0.00643101,0.00643101
43,2775.46,0.81152,0.8342,0.9918,0.48815,0.00628101,0.00628101,0.00628101
44,2838.02,0.83112,0.8355,0.992,0.48396,0.00612981,0.00612981,0.00612981
45,2901.03,0.83297,0.8368,0.9925,0.48312,0.00597754,0.00597754,0.00597754
46,2964.69,0.82411,0.8372,0.9924,0.47847,0.00582435,0.00582435,0.00582435
47,3027.85,0.77934,0.8397,0.9926,0.47519,0.0056704,0.0056704,0.0056704
48,3091.89,0.77455,0.8414,0.9926,0.47395,0.00551584,0.00551584,0.00551584
49,3156.07,0.75663,0.8423,0.993,0.47033,0.00536081,0.00536081,0.00536081
50,3217.9,0.73533,0.8425,0.9932,0.46682,0.00520548,0.00520548,0.00520548
51,3281.31,0.72758,0.8436,0.9933,0.46622,0.00505,0.00505,0.00505
52,3344.97,0.72806,0.844,0.9932,0.46111,0.00489452,0.00489452,0.00489452
53,3410.05,0.70981,0.8439,0.9932,0.45997,0.00473919,0.00473919,0.00473919
54,3474.92,0.7233,0.845,0.9934,0.45591,0.00458416,0.00458416,0.00458416
55,3539.94,0.70542,0.8469,0.9935,0.45334,0.0044296,0.0044296,0.0044296
56,3605.22,0.70371,0.8474,0.9935,0.44881,0.00427565,0.00427565,0.00427565
57,3670.7,0.67806,0.8482,0.9936,0.4445,0.00412246,0.00412246,0.00412246
58,3733.67,0.68443,0.8493,0.9936,0.4433,0.00397019,0.00397019,0.00397019
59,3795.04,0.67049,0.8492,0.9936,0.43825,0.00381899,0.00381899,0.00381899
60,3856.27,0.65673,0.851,0.9939,0.43568,0.00366899,0.00366899,0.00366899
61,3917.43,0.6493,0.8514,0.9938,0.43225,0.00352037,0.00352037,0.00352037
62,3978.54,0.63398,0.8526,0.9941,0.42941,0.00337325,0.00337325,0.00337325
63,4039.49,0.63796,0.8541,0.9941,0.42639,0.00322778,0.00322778,0.00322778
64,4101.24,0.62299,0.8553,0.9943,0.4255,0.00308412,0.00308412,0.00308412
65,4162.05,0.60473,0.8561,0.9943,0.42376,0.00294239,0.00294239,0.00294239
66,4223.09,0.59733,0.8576,0.9946,0.41815,0.00280275,0.00280275,0.00280275
67,4284.11,0.59914,0.8587,0.9948,0.41499,0.00266532,0.00266532,0.00266532
68,4344.94,0.6508,0.8588,0.9948,0.415,0.00253024,0.00253024,0.00253024
69,4406.05,0.60368,0.8589,0.9946,0.41145,0.00239766,0.00239766,0.00239766
70,4466.81,0.60842,0.8594,0.9946,0.40817,0.00226769,0.00226769,0.00226769
71,4527.53,0.56751,0.8603,0.9947,0.40632,0.00214046,0.00214046,0.00214046
72,4588.38,0.56112,0.8608,0.9947,0.40298,0.00201611,0.00201611,0.00201611
73,4649.26,0.5493,0.8621,0.9947,0.40025,0.00189475,0.00189475,0.00189475
74,4710.17,0.54547,0.8627,0.9949,0.39935,0.00177651,0.00177651,0.00177651
75,4771.06,0.53117,0.8629,0.995,0.39767,0.00166149,0.00166149,0.00166149
76,4832.13,0.5245,0.8639,0.995,0.39591,0.00154982,0.00154982,0.00154982
77,4892.92,0.51676,0.8653,0.9951,0.39309,0.00144161,0.00144161,0.00144161
78,4953.53,0.50128,0.8655,0.9952,0.39009,0.00133695,0.00133695,0.00133695
79,5014.74,0.5003,0.8665,0.9955,0.38914,0.00123596,0.00123596,0.00123596
80,5075.64,0.49233,0.8675,0.9955,0.38963,0.00113873,0.00113873,0.00113873
81,5136.38,0.48974,0.8673,0.9958,0.38701,0.00104537,0.00104537,0.00104537
82,5312.26,0.48139,0.8679,0.9958,0.38342,0.000955951,0.000955951,0.000955951
83,5376.7,0.47316,0.8687,0.9957,0.38174,0.000870577,0.000870577,0.000870577
84,5441.25,0.47254,0.8703,0.9958,0.37916,0.000789327,0.000789327,0.000789327
85,5515.42,0.4695,0.8699,0.9957,0.37714,0.000712282,0.000712282,0.000712282
86,5577.22,0.45958,0.8709,0.9956,0.37445,0.000639518,0.000639518,0.000639518
87,5639.55,0.45521,0.8713,0.996,0.3726,0.000571106,0.000571106,0.000571106
88,5701.79,0.44566,0.8713,0.996,0.37125,0.000507115,0.000507115,0.000507115
89,5764.32,0.43749,0.8719,0.9959,0.36977,0.000447606,0.000447606,0.000447606
90,5827.5,0.43437,0.8729,0.9959,0.36949,0.00039264,0.00039264,0.00039264
91,5915.7,0.43267,0.874,0.9959,0.36659,0.00034227,0.00034227,0.00034227
92,5978.66,0.4331,0.8743,0.9961,0.36954,0.000296546,0.000296546,0.000296546
93,6041.4,0.42408,0.8749,0.9962,0.36431,0.000255513,0.000255513,0.000255513
94,6103.94,0.42455,0.8755,0.9963,0.36426,0.000219212,0.000219212,0.000219212
95,6166.18,0.41853,0.8756,0.9964,0.36278,0.000187678,0.000187678,0.000187678
96,6228.85,0.41789,0.8762,0.9965,0.3633,0.000160943,0.000160943,0.000160943
97,6291.45,0.41513,0.8767,0.9965,0.36144,0.000139032,0.000139032,0.000139032
98,6354.08,0.41207,0.8765,0.9966,0.36081,0.000121968,0.000121968,0.000121968
99,6416.49,0.40948,0.8769,0.9966,0.36141,0.000109768,0.000109768,0.000109768
100,6480.08,0.4094,0.877,0.9966,0.36103,0.000102443,0.000102443,0.000102443
